ticker,count
eq.DXC.US,1622
eq.ZM.US,1622
eq.LEDS.US,1622
eq.DMRC.US,1622
eq.CIEN.US,1622
eq.JKS.US,1622
eq.TENB.US,1622
eq.MXL.US,1622
eq.SMTC.US,1622
eq.AAOI.US,1622
eq.DAIO.US,1622
eq.MSI.US,1622
eq.LTRX.US,1622
eq.AI.US,1622
eq.ACMR.US,1622
eq.AUDC.US,1622
eq.TEAM.US,1622
eq.SWKS.US,1622
eq.OTEX.US,1622
eq.NTGR.US,1622
eq.SSNC.US,1622
eq.XRX.US,1622
eq.CEVA.US,1622
eq.FN.US,1622
eq.NOK.US,1622
eq.VRSN.US,1622
eq.SAIC.US,1622
eq.UIS.US,1622
eq.ERIC.US,1622
eq.UBER.US,1622
eq.MEI.US,1622
eq.LDOS.US,1622
eq.DT.US,1622
eq.MRVL.US,1622
eq.VSH.US,1622
eq.EPAM.US,1622
eq.CSCO.US,1622
eq.KVHI.US,1622
eq.GIB.US,1622
eq.SHOP.US,1622
eq.AXTI.US,1622
eq.HUBS.US,1622
eq.NSIT.US,1622
eq.BHE.US,1622
eq.WK.US,1622
eq.CDNS.US,1622
eq.MSFT.US,1622
eq.SSYS.US,1622
eq.OSIS.US,1622
eq.AMBA.US,1622
eq.ASX.US,1622
eq.VERI.US,1622
eq.NVMI.US,1622
eq.VRNS.US,1622
eq.CGNX.US,1622
eq.CVLT.US,1622
eq.NXPI.US,1622
eq.MKSI.US,1622
eq.LOGI.US,1622
eq.NEON.US,1622
eq.VIAV.US,1622
eq.PLUS.US,1622
eq.ROG.US,1622
eq.ARW.US,1622
eq.SNPS.US,1622
eq.PD.US,1622
eq.REFR.US,1622
eq.CLS.US,1622
eq.KLIC.US,1622
eq.COHU.US,1622
eq.DSGX.US,1622
eq.ADEA.US,1622
eq.HCKT.US,1622
eq.BOX.US,1622
eq.SNX.US,1621
eq.FTV.US,1621
eq.VHC.US,1621
eq.CREX.US,1620
eq.BKTI.US,1620
eq.KOSS.US,1619
eq.MSN.US,1618
eq.JG.US,1615
eq.ALOT.US,1615
eq.FKWL.US,1612
eq.XPER.US,1611
eq.FEIM.US,1610
eq.CSPI.US,1609
eq.TRT.US,1608
eq.SLNH.US,1607
eq.BKSY.US,1605
eq.ELTK.US,1604
eq.LGL.US,1604
eq.DSWL.US,1603
eq.UTSI.US,1601
eq.KPLT.US,1600
eq.SPRU.US,1598
eq.COHR.US,1585
eq.KULR.US,1584
eq.LINK.US,1572
eq.MTLS.US,1565
eq.WKEY.US,1552
eq.BELFA.US,1547
eq.FRGT.US,1535
eq.EBON.US,1500
eq.IIIV.US,1489
eq.BILL.US,1489
eq.FSLY.US,1489
eq.UI.US,1489
eq.CRNC.US,1489
eq.ONTO.US,1489
eq.ATOM.US,1489
eq.RPAY.US,1489
eq.PSN.US,1489
eq.CRWD.US,1489
eq.DDOG.US,1489
eq.SPT.US,1487
eq.COMP.US,1487
eq.KC.US,1478
eq.FOUR.US,1477
eq.CPSH.US,1470
eq.RXT.US,1467
eq.NCNO.US,1467
eq.API.US,1467
eq.QH.US,1450
eq.SNOW.US,1444
eq.U.US,1442
eq.STEM.US,1429
eq.OUST.US,1428
eq.VNT.US,1427
eq.PSFE.US,1427
eq.NVEC.US,1427
eq.BLIN.US,1426
eq.SSTI.US,1423
eq.III.US,1423
eq.BOSC.US,1422
eq.ARRY.US,1421
eq.DJCO.US,1414
eq.PHUN.US,1412
eq.OCC.US,1405
eq.DBD.US,1404
eq.BKKT.US,1374
eq.SMRT.US,1369
eq.TLS.US,1367
eq.ACFN.US,1366
eq.LIDR.US,1365
eq.BSY.US,1362
eq.VS.US,1361
eq.CGNT.US,1349
eq.NXPL.US,1324
eq.ELSE.US,1324
eq.TUYA.US,1319
